	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	17.09	17.2	93.44	18.19	16.04	18.61	14.41	17.48
1	23.17	17.98	14.51	103.76	18.94	22.99	21.71	18.93
2	19.76	44.66	24.8	22.06	17.34	16.46	18.06	15.9
3	19.21	16.58	18.28	35.8	20.94	36.22	20.8	23.77
4	24.16	18.83	24.6	37.21	15.56	16.13	18.29	32.63
5	19.7	23.64	17.84	15.44	31.59	15.42	20.7	19.73
6	23.49	26.13	126.0	18.08	22.82	16.69	20.15	28.53
7	18.27	17.61	19.0	19.93	20.87	30.31	18.22	17.59
8	18.8	15.94	21.18	70.69	19.34	15.31	16.89	18.09
9	15.04	17.81	33.97	19.59	55.09	18.86	45.74	18.26
10	47.96	19.42	35.59	36.2	38.43	19.26	18.4	16.11
11	16.77	18.68	13.94	21.21	20.07	19.34	16.76	17.95
12	18.91	15.07	21.02	19.03	153.39	21.34	18.13	15.37
13	17.57	14.7	18.38	23.56	14.92	19.77	15.76	16.63
14	15.9	18.47	37.91	23.05	20.21	26.15	18.95	17.15
15	17.42	17.96	23.18	20.33	21.89	16.42	23.74	22.08
16	18.06	32.9	17.86	16.74	19.46	16.48	14.62	15.37
17	27.2	18.54	80.75	14.9	20.78	17.87	20.85	18.44
18	18.75	15.71	16.79	17.34	61.88	16.93	33.24	29.57
19	19.84	46.27	17.46	18.76	1009.86	15.72	21.49	16.91
20	18.61	18.53	34.33	18.77	21.39	36.02	18.3	17.51
21	19.0	19.09	17.37	18.04	23.06	24.74	24.42	18.37
22	14.15	19.2	23.54	16.24	16.3	45.56	21.78	22.34
23	18.48	19.85	20.17	23.79	21.72	17.5	15.01	18.67
24	21.75	16.67	19.25	25.2	18.24	23.24	17.95	21.16
25	26.77	22.53	17.5	23.55	20.91	39.88	21.09	26.54
26	15.49	20.58	15.74	18.34	19.2	16.69	21.37	16.69
27	37.85	42.95	16.87	18.68	18.85	18.8	17.3	13.3
28	15.74	18.23	19.48	33.82	54.93	32.47	19.18	18.61
29	15.09	27.09	18.32	22.18	16.79	29.18	43.73	22.13
30	16.16	35.03	17.31	52.49	16.84	14.33	16.34	15.93
31	22.95	17.8	16.77	16.59	18.74	15.1	17.78	17.09
32	22.26	17.51	28.3	26.06	39.35	17.05	19.62	18.09
33	18.27	31.21	15.79	17.42	23.18	16.28	18.3	17.2
34	17.99	15.12	23.16	19.37	19.12	20.87	19.88	82.74
35	30.29	16.38	16.98	18.72	18.06	50.5	18.46	27.65
36	32.0	22.45	19.9	38.67	16.32	25.3	23.48	22.33
37	77.33	16.73	17.19	16.91	16.24	16.33	25.06	16.96
38	18.82	22.74	15.74	19.01	24.44	29.94	15.79	16.94
39	20.97	76.02	16.57	30.32	24.82	21.02	20.11	20.59
40	18.62	23.67	25.75	36.92	29.37	24.38	27.71	17.62
41	28.44	16.72	17.86	19.14	26.4	21.16	15.76	27.05
42	293.82	15.9	17.5	24.96	74.99	16.62	19.43	23.25
43	17.93	23.73	19.39	20.51	27.34	16.06	19.55	40.12
44	33.14	27.43	15.49	14.45	23.35	26.09	17.67	21.02
45	21.48	18.44	67.59	22.32	19.03	15.34	15.14	17.5
46	15.72	2008.86	23.9	18.16	24.32	20.8	20.14	20.13
47	20.95	27.88	18.93	20.06	19.7	16.73	22.31	32.35
48	17.12	18.17	40.1	20.15	17.83	17.99	15.23	34.64
49	14.06	70.49	17.43	18.62	31.49	19.8	14.33	19.66
